NAME,X,Y,Z
SUN,-1.353539622874197E+06,2.312479649722604E+05,2.966643693824076E+04
MERCURY,-5.061527788729806E+07,2.036853589771889E+07,6.193880033915902E+06
VENUS,4.655717382832152E+07,9.693108960886808E+07,-1.407387389549464E+06
EARTH,7.862971874032670E+07,-1.289812505867561E+08,3.552122265409678E+04
MARS,2.062004931244413E+08,-9.268445760252083E+06,-5.260664079843730E+06
JUPITER,7.398395277984612E+08,-3.156231210826076E+07,-1.642117069406275E+07
SATURN,1.145388631257142E+09,-9.304708750973569E+08,-2.942428740224469E+07
URANUS,2.067486569656420E+09,2.097626747743881E+09,-1.899403677526927E+07


